category,post_index,filename,window_title,scraped_at,raw,cleaned,label_disruption,label_type,source
mrt fault - 小红书搜索 - Google Chrome,11,mock_post_11.png,mrt fault - 小红书搜索 - Google Chrome,2026-02-22T08:11:00,"Rapid commuter diary
focus on
Service update says all lines are stable with no major delay this morning at Ampang Park.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2026-12-18
There are 8 comments in total
author
reply
Show 3 replies
Say something",Service update says all lines are stable with no major delay this morning at Ampang Park People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2026 12 18 There are 8 comments in total author reply Show 3 replies Say something,0,normal_update,synthetic_mock
🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,12,mock_post_12.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-22T08:12:00,"KL daily commuter
focus on
LRT Kelana Jaya line had a signaling issue during peak hour and trains moved slowly at Universiti.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2025-07-09
There are 3 comments in total
author
reply
Show 1 replies
Say something",LRT Kelana Jaya line had a signaling issue during peak hour and trains moved slowly at Universiti Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2025 07 09 There are 3 comments in total author reply Show 1 replies Say something,1,incident_breakdown,synthetic_mock
mrtkajang问题 - 小红书搜索 - Google Chrome,13,mock_post_13.png,mrtkajang问题 - 小红书搜索 - Google Chrome,2026-02-22T08:13:00,"Ootashi store
focus on
General city transport post not related to outage or malfunction at Putra Heights.
People shared regular commute and station photos
No emergency notice was posted
There are 13 comments in total
author
reply
Show 3 replies
Say something",General city transport post not related to outage or malfunction at Putra Heights People shared regular commute and station photos No emergency notice was posted There are 13 comments in total author reply Show 3 replies Say something,0,normal_general,synthetic_mock
mrt kajang - 小红书搜索 - Google Chrome,14,mock_post_14.png,mrt kajang - 小红书搜索 - Google Chrome,2026-02-22T08:14:00,"Ootashi store
focus on
Rapid KL announced temporary service disruption between KLCC and Gombak with shuttle support at Gombak.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2026-09-09
There are 14 comments in total
author
reply
Show 3 replies
Say something",Rapid KL announced temporary service disruption between KLCC and Gombak with shuttle support at Gombak Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2026 09 09 There are 14 comments in total author reply Show 3 replies Say something,1,incident_service_disruption,synthetic_mock
🇲🇾LRT停运 注意了‼️ - 小红书 - Google Chrome,15,mock_post_15.png,🇲🇾LRT停运 注意了‼️ - 小红书 - Google Chrome,2026-02-22T08:15:00,"Ootashi store
focus on
Commuting to work was smooth and station crowd level was manageable today at Universiti.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2024-01-28
There are 4 comments in total
author
reply
Show 1 replies
Say something",Commuting to work was smooth and station crowd level was manageable today at Universiti People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2024 01 28 There are 4 comments in total author reply Show 1 replies Say something,0,normal_commute,synthetic_mock
地铁 马来西亚 - 小红书搜索 - Google Chrome,16,mock_post_16.png,地铁 马来西亚 - 小红书搜索 - Google Chrome,2026-02-22T08:16:00,"Little Red Potato 66A1
focus on
Rapid KL announced temporary service disruption between KLCC and Gombak with shuttle support at Wangsa Maju.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2025-10-15
There are 17 comments in total
author
reply
Show 2 replies
Say something",Rapid KL announced temporary service disruption between KLCC and Gombak with shuttle support at Wangsa Maju Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2025 10 15 There are 17 comments in total author reply Show 2 replies Say something,1,incident_service_disruption,synthetic_mock
mrt fault - 小红书搜索 - Google Chrome,17,mock_post_17.png,mrt fault - 小红书搜索 - Google Chrome,2026-02-22T08:17:00,"City transit watcher
focus on
Normal operation resumed and train intervals are back to schedule at KLCC.
People shared regular commute and station photos
No emergency notice was posted
There are 9 comments in total
author
reply
Show 3 replies
Say something",Normal operation resumed and train intervals are back to schedule at KLCC People shared regular commute and station photos No emergency notice was posted There are 9 comments in total author reply Show 3 replies Say something,0,normal_operation,synthetic_mock
lrtkelanajaya故障 - 小红书搜索 - Google Chrome,18,mock_post_18.png,lrtkelanajaya故障 - 小红书搜索 - Google Chrome,2026-02-22T08:18:00,"Rapid commuter diary
focus on
LRT Kelana Jaya line had a signaling issue during peak hour and trains moved slowly at Gombak.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2024-12-24
There are 9 comments in total
author
reply
Show 3 replies
Say something",LRT Kelana Jaya line had a signaling issue during peak hour and trains moved slowly at Gombak Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2024 12 24 There are 9 comments in total author reply Show 3 replies Say something,1,incident_breakdown,synthetic_mock
lrtkelanajaya线 - 小红书搜索 - Google Chrome,19,mock_post_19.png,lrtkelanajaya线 - 小红书搜索 - Google Chrome,2026-02-22T08:19:00,"KL daily commuter
focus on
Routine travel post about route tips and fare sharing at KLCC.
People shared regular commute and station photos
No emergency notice was posted
There are 17 comments in total
author
reply
Show 3 replies
Say something",Routine travel post about route tips and fare sharing at KLCC People shared regular commute and station photos No emergency notice was posted There are 17 comments in total author reply Show 3 replies Say something,0,normal_travel_tip,synthetic_mock
lrt is bad again - Xiaohongshu search - Google Chrome,20,mock_post_20.png,lrt is bad again - Xiaohongshu search - Google Chrome,2026-02-22T08:20:00,"KL daily commuter
focus on
Rapid KL announced temporary service disruption between KLCC and Gombak with shuttle support at Putra Heights.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2026-01-20
There are 11 comments in total
author
reply
Show 2 replies
Say something",Rapid KL announced temporary service disruption between KLCC and Gombak with shuttle support at Putra Heights Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2026 01 20 There are 11 comments in total author reply Show 2 replies Say something,1,incident_service_disruption,synthetic_mock
lrtkelanajaya线 - 小红书搜索 - Google Chrome,21,mock_post_21.png,lrtkelanajaya线 - 小红书搜索 - Google Chrome,2026-02-22T08:21:00,"KL daily commuter
focus on
Normal operation resumed and train intervals are back to schedule at Putra Heights.
People shared regular commute and station photos
No emergency notice was posted
There are 8 comments in total
author
reply
Show 1 replies
Say something",Normal operation resumed and train intervals are back to schedule at Putra Heights People shared regular commute and station photos No emergency notice was posted There are 8 comments in total author reply Show 1 replies Say something,0,normal_operation,synthetic_mock
lrtkelanajaya故障 - 小红书搜索 - Google Chrome,22,mock_post_22.png,lrtkelanajaya故障 - 小红书搜索 - Google Chrome,2026-02-22T08:22:00,"Xiaoxuan Talk Malaysia Official
focus on
Passengers were asked to get off at Pasar Seni due to train fault and wait for replacement at KLCC.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 3 comments in total
author
reply
Show 3 replies
Say something",Passengers were asked to get off at Pasar Seni due to train fault and wait for replacement at KLCC Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 3 comments in total author reply Show 3 replies Say something,1,incident_train_fault,synthetic_mock
lrtkelanajaya线 - 小红书搜索 - Google Chrome,23,mock_post_23.png,lrtkelanajaya线 - 小红书搜索 - Google Chrome,2026-02-22T08:23:00,"Little Red Potato 66A1
focus on
Service update says all lines are stable with no major delay this morning at Ampang Park.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2026-10-14
There are 7 comments in total
author
reply
Show 3 replies
Say something",Service update says all lines are stable with no major delay this morning at Ampang Park People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2026 10 14 There are 7 comments in total author reply Show 3 replies Say something,0,normal_update,synthetic_mock
地铁 马来西亚 - 小红书搜索 - Google Chrome,24,mock_post_24.png,地铁 马来西亚 - 小红书搜索 - Google Chrome,2026-02-22T08:24:00,"Rapid commuter diary
focus on
Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at Gombak.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 12 comments in total
author
reply
Show 2 replies
Say something",Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at Gombak Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 12 comments in total author reply Show 2 replies Say something,1,incident_maintenance_impact,synthetic_mock
🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,25,mock_post_25.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-22T08:25:00,"Ootashi store
focus on
No disruption observed and transfer between lines completed without waiting at KLCC.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2025-01-19
There are 18 comments in total
author
reply
Show 1 replies
Say something",No disruption observed and transfer between lines completed without waiting at KLCC People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2025 01 19 There are 18 comments in total author reply Show 1 replies Say something,0,normal_no_incident,synthetic_mock
lrt klcc - 小红书搜索 - Google Chrome,26,mock_post_26.png,lrt klcc - 小红书搜索 - Google Chrome,2026-02-22T08:26:00,"Xiaoxuan Talk Malaysia Official
focus on
Rapid KL announced temporary service disruption between KLCC and Gombak with shuttle support at Kelana Jaya.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 2 comments in total
author
reply
Show 1 replies
Say something",Rapid KL announced temporary service disruption between KLCC and Gombak with shuttle support at Kelana Jaya Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 2 comments in total author reply Show 1 replies Say something,1,incident_service_disruption,synthetic_mock
lrtkelanajaya故障 - 小红书搜索 - Google Chrome,27,mock_post_27.png,lrtkelanajaya故障 - 小红书搜索 - Google Chrome,2026-02-22T08:27:00,"Xiaoxuan Talk Malaysia Official
focus on
Normal operation resumed and train intervals are back to schedule at Putra Heights.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2025-11-16
There are 7 comments in total
author
reply
Show 3 replies
Say something",Normal operation resumed and train intervals are back to schedule at Putra Heights People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2025 11 16 There are 7 comments in total author reply Show 3 replies Say something,0,normal_operation,synthetic_mock
🇲🇾LRT停运 注意了‼️ - 小红书 - Google Chrome,28,mock_post_28.png,🇲🇾LRT停运 注意了‼️ - 小红书 - Google Chrome,2026-02-22T08:28:00,"Little Red Potato 66A1
focus on
Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at KL Sentral.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2025-07-07
There are 4 comments in total
author
reply
Show 1 replies
Say something",Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at KL Sentral Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2025 07 07 There are 4 comments in total author reply Show 1 replies Say something,1,incident_maintenance_impact,synthetic_mock
mrt kajang - 小红书搜索 - Google Chrome,29,mock_post_29.png,mrt kajang - 小红书搜索 - Google Chrome,2026-02-22T08:29:00,"Rapid commuter diary
focus on
No disruption observed and transfer between lines completed without waiting at Putra Heights.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2026-01-22
There are 4 comments in total
author
reply
Show 1 replies
Say something",No disruption observed and transfer between lines completed without waiting at Putra Heights People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2026 01 22 There are 4 comments in total author reply Show 1 replies Say something,0,normal_no_incident,synthetic_mock
lrtkelanajaya线 - 小红书搜索 - Google Chrome,30,mock_post_30.png,lrtkelanajaya线 - 小红书搜索 - Google Chrome,2026-02-22T08:30:00,"KL daily commuter
focus on
Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at Putra Heights.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 8 comments in total
author
reply
Show 1 replies
Say something",Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at Putra Heights Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 8 comments in total author reply Show 1 replies Say something,1,incident_maintenance_impact,synthetic_mock
地铁 马来西亚 - 小红书搜索 - Google Chrome,31,mock_post_31.png,地铁 马来西亚 - 小红书搜索 - Google Chrome,2026-02-22T08:31:00,"Ootashi store
focus on
Routine travel post about route tips and fare sharing at Ampang Park.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2025-08-08
There are 3 comments in total
author
reply
Show 2 replies
Say something",Routine travel post about route tips and fare sharing at Ampang Park People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2025 08 08 There are 3 comments in total author reply Show 2 replies Say something,0,normal_travel_tip,synthetic_mock
lrtkelanajaya线 - 小红书搜索 - Google Chrome,32,mock_post_32.png,lrtkelanajaya线 - 小红书搜索 - Google Chrome,2026-02-22T08:32:00,"City transit watcher
focus on
LRT Kelana Jaya line had a signaling issue during peak hour and trains moved slowly at Kelana Jaya.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 1 comments in total
author
reply
Show 1 replies
Say something",LRT Kelana Jaya line had a signaling issue during peak hour and trains moved slowly at Kelana Jaya Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 1 comments in total author reply Show 1 replies Say something,1,incident_breakdown,synthetic_mock
mrt kajang - 小红书搜索 - Google Chrome,33,mock_post_33.png,mrt kajang - 小红书搜索 - Google Chrome,2026-02-22T08:33:00,"Rapid commuter diary
focus on
Service update says all lines are stable with no major delay this morning at Wangsa Maju.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2025-01-06
There are 13 comments in total
author
reply
Show 1 replies
Say something",Service update says all lines are stable with no major delay this morning at Wangsa Maju People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2025 01 06 There are 13 comments in total author reply Show 1 replies Say something,0,normal_update,synthetic_mock
lrtkelanajaya线 - 小红书搜索 - Google Chrome,34,mock_post_34.png,lrtkelanajaya线 - 小红书搜索 - Google Chrome,2026-02-22T08:34:00,"Leisurely kitten
focus on
Commuters reported long queue and train delay after track maintenance at Universiti station at Ampang Park.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2026-09-22
There are 16 comments in total
author
reply
Show 1 replies
Say something",Commuters reported long queue and train delay after track maintenance at Universiti station at Ampang Park Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2026 09 22 There are 16 comments in total author reply Show 1 replies Say something,1,incident_delay,synthetic_mock
mrt fault - 小红书搜索 - Google Chrome,35,mock_post_35.png,mrt fault - 小红书搜索 - Google Chrome,2026-02-22T08:35:00,"Xiaoxuan Talk Malaysia Official
focus on
Commuting to work was smooth and station crowd level was manageable today at Universiti.
People shared regular commute and station photos
No emergency notice was posted
There are 18 comments in total
author
reply
Show 1 replies
Say something",Commuting to work was smooth and station crowd level was manageable today at Universiti People shared regular commute and station photos No emergency notice was posted There are 18 comments in total author reply Show 1 replies Say something,0,normal_commute,synthetic_mock
lrtkelanajaya故障 - 小红书搜索 - Google Chrome,36,mock_post_36.png,lrtkelanajaya故障 - 小红书搜索 - Google Chrome,2026-02-22T08:36:00,"Little Red Potato 66A1
focus on
LRT Kelana Jaya line had a signaling issue during peak hour and trains moved slowly at Kelana Jaya.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2026-03-02
There are 17 comments in total
author
reply
Show 1 replies
Say something",LRT Kelana Jaya line had a signaling issue during peak hour and trains moved slowly at Kelana Jaya Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2026 03 02 There are 17 comments in total author reply Show 1 replies Say something,1,incident_breakdown,synthetic_mock
lrt klcc - 小红书搜索 - Google Chrome,37,mock_post_37.png,lrt klcc - 小红书搜索 - Google Chrome,2026-02-22T08:37:00,"Xiaoxuan Talk Malaysia Official
focus on
Normal operation resumed and train intervals are back to schedule at KL Sentral.
People shared regular commute and station photos
No emergency notice was posted
There are 8 comments in total
author
reply
Show 2 replies
Say something",Normal operation resumed and train intervals are back to schedule at KL Sentral People shared regular commute and station photos No emergency notice was posted There are 8 comments in total author reply Show 2 replies Say something,0,normal_operation,synthetic_mock
🇲🇾LRT停运 注意了‼️ - 小红书 - Google Chrome,38,mock_post_38.png,🇲🇾LRT停运 注意了‼️ - 小红书 - Google Chrome,2026-02-22T08:38:00,"Little Red Potato 66A1
focus on
Passengers were asked to get off at Pasar Seni due to train fault and wait for replacement at Universiti.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 3 comments in total
author
reply
Show 2 replies
Say something",Passengers were asked to get off at Pasar Seni due to train fault and wait for replacement at Universiti Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 3 comments in total author reply Show 2 replies Say something,1,incident_train_fault,synthetic_mock
mrt - 小红书搜索 - Google Chrome,39,mock_post_39.png,mrt - 小红书搜索 - Google Chrome,2026-02-22T08:39:00,"Little Red Potato 66A1
focus on
Routine travel post about route tips and fare sharing at KL Sentral.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2025-04-22
There are 11 comments in total
author
reply
Show 1 replies
Say something",Routine travel post about route tips and fare sharing at KL Sentral People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2025 04 22 There are 11 comments in total author reply Show 1 replies Say something,0,normal_travel_tip,synthetic_mock
lrt klcc - 小红书搜索 - Google Chrome,40,mock_post_40.png,lrt klcc - 小红书搜索 - Google Chrome,2026-02-22T08:40:00,"City transit watcher
focus on
Power trip caused brief outage and service resumed after technicians completed repair at Pasar Seni.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 15 comments in total
author
reply
Show 2 replies
Say something",Power trip caused brief outage and service resumed after technicians completed repair at Pasar Seni Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 15 comments in total author reply Show 2 replies Say something,1,incident_power_outage,synthetic_mock
地铁 马来西亚 - 小红书搜索 - Google Chrome,41,mock_post_41.png,地铁 马来西亚 - 小红书搜索 - Google Chrome,2026-02-22T08:41:00,"Little Red Potato 66A1
focus on
Normal operation resumed and train intervals are back to schedule at Ampang Park.
People shared regular commute and station photos
No emergency notice was posted
There are 4 comments in total
author
reply
Show 1 replies
Say something",Normal operation resumed and train intervals are back to schedule at Ampang Park People shared regular commute and station photos No emergency notice was posted There are 4 comments in total author reply Show 1 replies Say something,0,normal_operation,synthetic_mock
lrtkelanajaya故障 - 小红书搜索 - Google Chrome,42,mock_post_42.png,lrtkelanajaya故障 - 小红书搜索 - Google Chrome,2026-02-22T08:42:00,"Leisurely kitten
focus on
Rapid KL announced temporary service disruption between KLCC and Gombak with shuttle support at Masjid Jamek.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2025-02-08
There are 12 comments in total
author
reply
Show 2 replies
Say something",Rapid KL announced temporary service disruption between KLCC and Gombak with shuttle support at Masjid Jamek Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2025 02 08 There are 12 comments in total author reply Show 2 replies Say something,1,incident_service_disruption,synthetic_mock
🇲🇾LRT停运 注意了‼️ - 小红书 - Google Chrome,43,mock_post_43.png,🇲🇾LRT停运 注意了‼️ - 小红书 - Google Chrome,2026-02-22T08:43:00,"City transit watcher
focus on
No disruption observed and transfer between lines completed without waiting at Masjid Jamek.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2026-09-01
There are 18 comments in total
author
reply
Show 2 replies
Say something",No disruption observed and transfer between lines completed without waiting at Masjid Jamek People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2026 09 01 There are 18 comments in total author reply Show 2 replies Say something,0,normal_no_incident,synthetic_mock
mrt - 小红书搜索 - Google Chrome,44,mock_post_44.png,mrt - 小红书搜索 - Google Chrome,2026-02-22T08:44:00,"Leisurely kitten
focus on
LRT Kelana Jaya line had a signaling issue during peak hour and trains moved slowly at Pasar Seni.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2024-12-18
There are 5 comments in total
author
reply
Show 2 replies
Say something",LRT Kelana Jaya line had a signaling issue during peak hour and trains moved slowly at Pasar Seni Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2024 12 18 There are 5 comments in total author reply Show 2 replies Say something,1,incident_breakdown,synthetic_mock
